DateTime,Entries,UniqueIPs
1485726276,52689,52689
1485746705,52066,52066
1485767729,52194,52194
1485810926,52524,52524
1485832541,52399,52399
1485854112,52445,52445
1485875707,52563,52563
1485897272,52711,52711
1485918897,51093,51093
1485940515,51173,51173
1485962153,51608,51608
1485983738,51666,51666
1486005422,50933,50933
1486026945,51086,51086
1486048624,51236,51236
1486070086,51444,51444
1486091686,51484,51484
1486113306,51655,51655
1486134900,51804,51804
1486156522,52010,52010
1486178193,49854,49854
1486199711,49873,49873
1486221311,49905,49905
1486242898,49925,49925
1486264776,48591,48591
1486286088,48719,48719
1486307782,48744,48744
1486329288,49149,49149
1486350908,48153,48153
1486372507,48222,48222
1486394186,48306,48306
1486415697,48504,48504
1486437285,47505,47505
1486458932,47595,47595
1486480481,47825,47825
1486502149,48052,48052
1486523797,47249,47249
1486545297,47351,47351
1486566907,47479,47479
1486588493,47671,47671
1486610094,46685,46685
1486631691,46817,46817
1486651497,46980,46980
1486673120,47161,47161
1486694857,46515,46515
1486716306,46880,46880
1486738012,47048,47048
1486757757,47075,47075
1486779424,46249,46249
1486801139,46422,46422
1486822500,46503,46503
1486844109,46702,46702
1486865733,46869,46869
1486887341,47009,47009
1486908918,47145,47145
1486930509,47376,47376
1486952120,45601,45601
1486973701,45819,45819
1486995368,45939,45939
1487016921,46194,46194
1487038515,45020,45020
1487060153,45141,45141
1487081718,45412,45412
1487103363,45607,45607
1487124916,45444,45444
1487146523,45589,45589
1487168102,45703,45703
1487189740,45904,45904
1487211318,43987,43987
1487232937,44245,44245
1487254511,44407,44407
1487276214,44622,44622
1487297711,43892,43892
1487319345,43986,43986
1487340934,44115,44115
1487362520,44375,44375
1487384116,43144,43144
1487405715,43257,43257
1487427311,43326,43326
1487448910,43600,43600
1487470527,43705,43705
1487492166,43723,43723
1487513697,43787,43787
1487535303,43966,43966
1487556908,42428,42428
1487578529,42647,42647
1487600125,42765,42765
1487621703,43019,43019
1487643350,42753,42753
1487664916,42956,42956
1487686508,43043,43043
1487708104,43353,43353
1487729743,43024,43024
1487751312,43087,43087
1487772923,43264,43264
1487794525,43582,43582
1487816106,43237,43237
1487837712,43386,43386
1487859308,43527,43527
1487880892,43713,43713
1487902519,44016,44016
1487924118,44256,44256
1487943925,44328,44328
1487965499,44626,44626
1487987333,43935,43935
1488008718,44196,44196
1488030304,44306,44306
1488051896,44646,44646
1488073708,44084,44084
1488095104,44212,44212
1488115114,44289,44289
1488134723,44424,44424
1488156342,44039,44039
1488178208,44227,44227
1488199510,44325,44325
1488221160,44550,44550
1488242722,44154,44154
1488264320,44431,44431
1488285922,44504,44504
1488305958,44548,44548
1488327338,44800,44800
1488348927,45592,45592
1488370519,45745,45745
1488392107,45894,45894
1488413735,44886,44886
1488435370,45133,45133
1488456926,45241,45241
1488478507,45470,45470
1488498880,45386,45386
1488519927,45586,45586
1488541628,45761,45761
1488563357,46008,46008
1488585296,45700,45700
1488606364,46007,46007
1488628058,46195,46195
1488649501,46334,46334
1488670513,46220,46220
1488691267,46485,46485
1488713214,46630,46630
1488734103,46881,46881
1488754404,46464,46464
1488775561,46659,46659
1488797122,46778,46778
1488818728,46975,46975
1488840322,46260,46260
1488861896,46471,46471
1488883511,46607,46607
1488905110,46675,46675
1488926736,46477,46477
1488948315,46806,46806
1488969925,46912,46912
1488991509,47087,47087
1489013155,46931,46931
1489034863,47155,47155
1489056317,47283,47283
1489077922,47474,47474
1489099530,47634,47634
1489121133,47811,47811
1489142726,48100,48100
1489164337,48219,48219
1489185914,47790,47790
1489204411,48203,48203
1489223749,48294,48294
1489245307,48416,48416
1489265142,48689,48689
1489285665,48480,48480
1489306539,48600,48600
1489322719,48642,48642
1489344534,48858,48858
1489364212,48104,48104
1489384095,48272,48272
1489405652,48485,48485
1489427147,48759,48759
1489448112,48343,48343
1489468718,48409,48409
1489488354,48524,48524
1489506339,48723,48723
1489524352,49053,49053
1489546017,48814,48814
1489567837,48991,48991
1489589137,49181,49181
1489610718,49626,49626
1489632318,49503,49503
1489650553,49582,49582
1489671928,49789,49789
1489693537,50098,50098
1489715140,50160,50160
1489736711,50359,50359
1489754716,50443,50443
1489776358,50823,50823
1489797925,50461,50461
1489819531,50597,50597
1489841118,50660,50660
1489859109,50741,50741
1489877119,50528,50528
1489893329,50548,50548
1489909539,50575,50575
1489931123,50612,50612
1489952693,50726,50726
1489974321,50792,50792
1489988705,51021,51021
1490006800,51137,51137
1490026536,51367,51367
1490046366,51430,51430
1490067924,51339,51339
1490089534,51636,51636
1490111138,51823,51823
1490132710,52113,52113
1490154348,51002,51002
1490175968,51191,51191
1490197575,51326,51326
1490219134,51654,51654
1490240721,51264,51264
1490262320,51435,51435
1490283936,51659,51659
1490305709,51974,51974
1490327108,51976,51976
1490348702,52049,52049
1490370344,52119,52119
1490391907,52393,52393
1490413514,51655,51655
1490435139,51760,51760
1490456700,51930,51930
1490471134,52223,52223
1490492736,51365,51365
1490514537,51456,51456
1490535925,51571,51571
1490557513,51643,51643
1490579107,50831,50831
1490600696,51044,51044
1490616939,51145,51145
1490638555,51309,51309
1490656546,50528,50528
1490676313,50601,50601
1490698037,50737,50737
1490719521,50854,50854
1490740521,50136,50136
1490760916,50422,50422
1490777111,50538,50538
1490795139,50637,50637
1490816724,50802,50802
1490838328,50071,50071
1490856293,50315,50315
1490874333,50414,50414
1490892318,50651,50651
1490913426,50626,50626
1490933723,50776,50776
1490949905,50838,50838
1490971768,50950,50950
1490985948,51135,51135
1491007547,50051,50051
1491029343,50213,50213
1491050707,50399,50399
1491072342,50608,50608
1491093922,49661,49661
1491101116,49898,49898
1491122711,49967,49967
1491144293,50103,50103
1491165877,50379,50379
1491187516,50709,50709
1491209169,51124,51124
1491230714,51349,51349
1491252494,51655,51655
1491270337,51708,51708
1491292134,51865,51865
1491313505,51987,51987
1491336954,52294,52294
1491356967,51027,51027
1491378294,51199,51199
1491399940,51472,51472
1491420175,51719,51719
1491441309,50756,50756
1491462937,50954,50954
1491484550,51074,51074
1491506310,51232,51232
1491527720,51250,51250
1491549309,51444,51444
1491569311,51542,51542
1491590732,51852,51852
1491612345,50695,50695
1491634046,50826,50826
1491655545,51038,51038
1491677151,51466,51466
1491698938,50670,50670
1491718561,50794,50794
1491736520,50945,50945
1491756341,51050,51050
1491777426,51443,51443
1491797736,50930,50930
1491817538,51069,51069
1491839137,51565,51565
1491860720,51726,51726
1491882407,50970,50970
1491903919,51214,51214
1491925635,51315,51315
1491939928,51680,51680
1491957931,51001,51001
1491979518,51142,51142
1492001183,51241,51241
1492022735,51432,51432
1492044323,51637,51637
1492065929,52061,52061
1492087536,52302,52302
1492109119,52439,52439
1492130735,52129,52129
1492152307,52399,52399
1492170341,52490,52490
1492191941,52816,52816
1492213745,52263,52263
1492235168,52477,52477
1492256743,52726,52726
1492272920,52778,52778
1492289103,53180,53180
1492310731,52014,52014
1492332319,52482,52482
1492350350,52610,52610
1492371926,52980,52980
1492393559,52020,52020
1492411631,52354,52354
1492427737,52537,52537
1492449334,52735,52735
1492471191,52163,52163
1492492558,52316,52316
1492514184,52450,52450
1492535739,52664,52664
1492557384,51841,51841
1492578938,52312,52312
1492600578,52476,52476
1492622210,52674,52674
1492643786,52246,52246
1492665360,52459,52459
1492684276,52551,52551
1492703159,52752,52752
1492722935,52905,52905
1492744536,52200,52200
1492766159,52354,52354
1492787741,52396,52396
1492809403,52781,52781
1492830966,52572,52572
1492850719,52768,52768
1492872327,52881,52881
1492893941,53077,53077
1492915543,52371,52371
1492937142,52489,52489
1492958738,52660,52660
1492980345,52934,52934
1493001953,52128,52128
1493023570,52347,52347
1493045173,52395,52395
1493066784,52449,52449
1493088343,52260,52260
